 | Time now: 12 | Time now: 1.119399 |End 
 | Time now: 11 | Time now: 1.669399 |End 
 | Time now: 13 | Time now: 2.219399 |End 
 | Time now: 12 | Time now: 2.769399 |End 
 | Time now: 12 | Time now: 3.319399 |End 
 | Time now: 11 | Time now: 3.869399 |End 
 | Time now: 13 | Time now: 4.419399 |End 
 | Time now: 13 | Time now: 4.969399 |End 
 | Time now: 11 | Time now: 5.519399 |End 
 | Time now: 13 | Time now: 6.069399 |End 
 | Time now: 13 | Time now: 6.619399 |End 
 | Time now: 12 | Time now: 7.169399 |End 
 | Time now: 12 | Time now: 7.719399 |End 
 | Time now: 13 | Time now: 8.269399 |End 
 | Time now: 13 | Time now: 8.819399 |End 
 | Time now: 12 | Time now: 9.369399 |End 
 | Time now: 12 | Time now: 9.919399 |End 
 | Time now: 14 | Time now: 10.469399 |End 
 | Time now: 13 | Time now: 11.019399 |End 
 | Time now: 12 | Time now: 11.569399 |End 
 | Time now: 14 | Time now: 12.119399 |End 
 | Time now: 14 | Time now: 12.669399 |End 
 | Time now: 14 | Time now: 13.219399 |End 
 | Time now: 12 | Time now: 13.769399 |End 
 | Time now: 14 | Time now: 14.319399 |End 
 | Time now: 14 | Time now: 14.869399 |End 
 | Time now: 14 | Time now: 15.419399 |End 
 | Time now: 14 | Time now: 15.959719 |End 
 | Time now: 14 | Time now: 16.509719 |End 
 | Time now: 14 | Time now: 17.059719 |End 
 | Time now: 14 | Time now: 17.609719 |End 
 | Time now: 15 | Time now: 18.159719 |End 
 | Time now: 14 | Time now: 18.709719 |End 
 | Time now: 14 | Time now: 19.259719 |End 
 | Time now: 14 | Time now: 19.809719 |End 
 | Time now: 15 | Time now: 20.359719 |End 
 | Time now: 15 | Time now: 20.909719 |End 
 | Time now: 14 | Time now: 21.459719 |End 
 | Time now: 14 | Time now: 22.009719 |End 
 | Time now: 15 | Time now: 22.559719 |End 
 | Time now: 15 | Time now: 23.109719 |End 
 | Time now: 15 | Time now: 23.659719 |End 
 | Time now: 15 | Time now: 24.209718 |End 
 | Time now: 15 | Time now: 24.759718 |End 
 | Time now: 15 | Time now: 25.309717 |End 
 | Time now: 15 | Time now: 25.859717 |End 
 | Time now: 17 | Time now: 26.409717 |End 
 | Time now: 15 | Time now: 26.959717 |End 
 | Time now: 15 | Time now: 27.509717 |End 
 | Time now: 17 | Time now: 28.059717 |End 
 | Time now: 17 | Time now: 28.609717 |End 
 | Time now: 17 | Time now: 29.159717 |End 
 | Time now: 15 | Time now: 29.709717 |End 
 | Time now: 17 | Time now: 30.259717 |End 
 | Time now: 17 | Time now: 30.819397 |End 
 | Time now: 17 | Time now: 31.369397 |End 
 | Time now: 18 | Time now: 31.909717 |End 
 | Time now: 17 | Time now: 32.459717 |End 
 | Time now: 17 | Time now: 33.009717 |End 
 | Time now: 17 | Time now: 33.559717 |End 
 | Time now: 19 | Time now: 34.109717 |End 
 | Time now: 19 | Time now: 34.659717 |End 
 | Time now: 17 | Time now: 35.209717 |End 
 | Time now: 17 | Time now: 35.759717 |End 
 | Time now: 19 | Time now: 36.309717 |End 
 | Time now: 19 | Time now: 36.859717 |End 
 | Time now: 20 | Time now: 37.409717 |End 
 | Time now: 20 | Time now: 37.959717 |End 
 | Time now: 21 | Time now: 38.509717 |End 
 | Time now: 22 | Time now: 39.059717 |End 
 | Time now: 22 | Time now: 39.609718 |End 
 | Time now: 23 | Time now: 40.159718 |End 
 | Time now: 23 | Time now: 40.709718 |End 
 | Time now: 24 | Time now: 41.259719 |End 
 | Time now: 24 | Time now: 41.809719 |End 
 | Time now: 24 | Time now: 42.359719 |End 
 | Time now: 24 | Time now: 42.909719 |End 
 | Time now: 24 | Time now: 43.459719 |End 
 | Time now: 24 | Time now: 44.009719 |End 
 | Time now: 25 | Time now: 44.559720 |End 
 | Time now: 25 | Time now: 45.109720 |End 
 | Time now: 26 | Time now: 45.659721 |End 
 | Time now: 26 | Time now: 46.209721 |End 
 | Time now: 27 | Time now: 46.759722 |End 
 | Time now: 27 | Time now: 47.309723 |End 
 | Time now: 28 | Time now: 47.859723 |End 
 | Time now: 28 | Time now: 48.409724 |End 
 | Time now: 29 | Time now: 48.959725 |End 
 | Time now: 29 | Time now: 49.509726 |End 
 | Time now: 30 | Time now: 50.059727 |End 
 | Time now: 30 | Time now: 50.609728 |End 
 | Time now: 31 | Time now: 51.159729 |End 
 | Time now: 31 | Time now: 51.709731 |End 
 | Time now: 31 | Time now: 52.259732 |End 
 | Time now: 32 | Time now: 52.809733 |End 
 | Time now: 32 | Time now: 53.359735 |End 
 | Time now: 33 | Time now: 53.909736 |End 
 | Time now: 33 | Time now: 54.459738 |End 
 | Time now: 33 | Time now: 55.009740 |End 
 | Time now: 34 | Time now: 55.559742 |End 
 | Time now: 34 | Time now: 56.109743 |End 
 | Time now: 34 | Time now: 56.659743 |End 
 | Time now: 34 | Time now: 57.209744 |End 
 | Time now: 34 | Time now: 57.759744 |End 
 | Time now: 34 | Time now: 58.309744 |End 
 | Time now: 34 | Time now: 58.859744 |End 
 | Time now: 34 | Time now: 59.409745 |End 
 | Time now: 34 | Time now: 59.959745 |End 
 | Time now: 35 | Time now: 60.509745 |End 
 | Time now: 35 | Time now: 61.059745 |End 
 | Time now: 35 | Time now: 61.609746 |End 
 | Time now: 35 | Time now: 62.159746 |End 
 | Time now: 35 | Time now: 62.709746 |End 
 | Time now: 35 | Time now: 63.259747 |End 
 | Time now: 35 | Time now: 63.809747 |End 
 | Time now: 35 | Time now: 64.359747 |End 
 | Time now: 35 | Time now: 64.909747 |End 
 | Time now: 35 | Time now: 65.459748 |End 
 | Time now: 35 | Time now: 66.009748 |End 
 | Time now: 35 | Time now: 66.559748 |End 
 | Time now: 35 | Time now: 67.109748 |End 
 | Time now: 35 | Time now: 67.659749 |End 
 | Time now: 35 | Time now: 68.209749 |End 
 | Time now: 35 | Time now: 68.759749 |End 
 | Time now: 35 | Time now: 69.309750 |End 
 | Time now: 35 | Time now: 69.859750 |End 
 | Time now: 35 | Time now: 70.409750 |End 
 | Time now: 35 | Time now: 70.959751 |End 
 | Time now: 36 | Time now: 71.509751 |End 
 | Time now: 36 | Time now: 72.059751 |End 
 | Time now: 36 | Time now: 72.609751 |End 
 | Time now: 36 | Time now: 73.159752 |End 
 | Time now: 36 | Time now: 73.709752 |End 
 | Time now: 36 | Time now: 74.259752 |End 
 | Time now: 36 | Time now: 74.809753 |End 
 | Time now: 36 | Time now: 75.359753 |End 
 | Time now: 36 | Time now: 75.909753 |End 
 | Time now: 36 | Time now: 76.459754 |End 
 | Time now: 36 | Time now: 77.009754 |End 
 | Time now: 36 | Time now: 77.559754 |End 
 | Time now: 36 | Time now: 78.109754 |End 
 | Time now: 36 | Time now: 78.659754 |End 
 | Time now: 36 | Time now: 79.209754 |End 
 | Time now: 36 | Time now: 79.759754 |End 
 | Time now: 36 | Time now: 80.309754 |End 
 | Time now: 36 | Time now: 80.859754 |End 
 | Time now: 36 | Time now: 81.409754 |End 
 | Time now: 36 | Time now: 81.959754 |End 
 | Time now: 36 | Time now: 82.509754 |End 
 | Time now: 36 | Time now: 83.059754 |End 
 | Time now: 36 | Time now: 83.609754 |End 
 | Time now: 36 | Time now: 84.159754 |End 
 | Time now: 36 | Time now: 84.709754 |End 
 | Time now: 36 | Time now: 85.259754 |End 
 | Time now: 36 | Time now: 85.809754 |End 
 | Time now: 36 | Time now: 86.359754 |End 
 | Time now: 36 | Time now: 86.919434 |End 
 | Time now: 36 | Time now: 87.469434 |End 
 | Time now: 36 | Time now: 88.009754 |End 
 | Time now: 36 | Time now: 88.559754 |End 
 | Time now: 36 | Time now: 89.109754 |End 
 | Time now: 36 | Time now: 89.659754 |End 
 | Time now: 36 | Time now: 90.209754 |End 
 | Time now: 36 | Time now: 90.759754 |End 
 | Time now: 36 | Time now: 91.309754 |End 
 | Time now: 36 | Time now: 91.859754 |End 
 | Time now: 36 | Time now: 92.409754 |End 
 | Time now: 36 | Time now: 92.959754 |End 
 | Time now: 36 | Time now: 93.509754 |End 
 | Time now: 36 | Time now: 94.609754 |End 
 | Time now: 36 | Time now: 95.159754 |End 
 | Time now: 36 | Time now: 95.709754 |End 
 | Time now: 36 | Time now: 96.259754 |End 
 | Time now: 36 | Time now: 96.809754 |End 
 | Time now: 36 | Time now: 97.359754 |End 
 | Time now: 36 | Time now: 97.919434 |End 
 | Time now: 36 | Time now: 98.459754 |End 
 | Time now: 36 | Time now: 99.009754 |End 
 | Time now: 36 | Time now: 99.559754 |End 
 | Time now: 36 | Time now: 100.109754 |End 
 | Time now: 36 | Time now: 100.659754 |End 
 | Time now: 36 | Time now: 101.209754 |End 
 | Time now: 36 | Time now: 101.759754 |End 
 | Time now: 36 | Time now: 102.309754 |End 
 | Time now: 36 | Time now: 104.209754 |End 
 | Time now: 36 | Time now: 104.759754 |End 
 | Time now: 36 | Time now: 106.909754 |End 
 | Time now: 36 | Time now: 107.459754 |End 
 | Time now: 36 | Time now: 108.009754 |End 
 | Time now: 36 | Time now: 108.559754 |End 
 | Time now: 36 | Time now: 109.109754 |End 
 | Time now: 36 | Time now: 109.659754 |End 
 | Time now: 36 | Time now: 110.209754 |End 
 | Time now: 36 | Time now: 110.769434 |End 
 | Time now: 36 | Time now: 111.319434 |End 
 | Time now: 36 | Time now: 111.859754 |End 
 | Time now: 36 | Time now: 112.409754 |End 
 | Time now: 36 | Time now: 112.959754 |End 
 | Time now: 36 | Time now: 113.509754 |End 
 | Time now: 36 | Time now: 114.059754 |End 
 | Time now: 36 | Time now: 114.609754 |End 
 | Time now: 36 | Time now: 115.159754 |End 
 | Time now: 36 | Time now: 115.709754 |End 
 | Time now: 36 | Time now: 116.259754 |End 
 | Time now: 36 | Time now: 116.809754 |End 
 | Time now: 36 | Time now: 117.359754 |End 
 | Time now: 36 | Time now: 117.909754 |End 
 | Time now: 36 | Time now: 118.459754 |End 
