 | Time now: 9 | Time now: 1.129079 |End 
 | Time now: 9 | Time now: 1.679079 |End 
 | Time now: 8 | Time now: 2.229079 |End 
 | Time now: 10 | Time now: 2.779079 |End 
 | Time now: 10 | Time now: 3.329079 |End 
 | Time now: 10 | Time now: 3.879079 |End 
 | Time now: 9 | Time now: 4.429079 |End 
 | Time now: 11 | Time now: 4.979079 |End 
 | Time now: 11 | Time now: 5.529079 |End 
 | Time now: 10 | Time now: 6.079079 |End 
 | Time now: 9 | Time now: 6.629079 |End 
 | Time now: 9 | Time now: 7.179079 |End 
 | Time now: 11 | Time now: 7.729079 |End 
 | Time now: 10 | Time now: 8.279079 |End 
 | Time now: 10 | Time now: 8.829079 |End 
 | Time now: 9 | Time now: 9.379079 |End 
 | Time now: 12 | Time now: 9.929079 |End 
 | Time now: 11 | Time now: 10.479079 |End 
 | Time now: 10 | Time now: 11.029079 |End 
 | Time now: 10 | Time now: 11.579079 |End 
 | Time now: 12 | Time now: 12.129079 |End 
 | Time now: 11 | Time now: 12.679079 |End 
 | Time now: 11 | Time now: 13.229079 |End 
 | Time now: 10 | Time now: 13.779079 |End 
 | Time now: 9 | Time now: 14.329079 |End 
 | Time now: 12 | Time now: 14.879079 |End 
 | Time now: 11 | Time now: 15.429079 |End 
 | Time now: 11 | Time now: 15.979079 |End 
 | Time now: 10 | Time now: 16.529079 |End 
 | Time now: 12 | Time now: 17.079079 |End 
 | Time now: 12 | Time now: 17.629079 |End 
 | Time now: 11 | Time now: 18.179079 |End 
 | Time now: 10 | Time now: 18.729079 |End 
 | Time now: 13 | Time now: 19.279079 |End 
 | Time now: 12 | Time now: 19.819399 |End 
 | Time now: 11 | Time now: 20.369399 |End 
 | Time now: 11 | Time now: 20.919399 |End 
 | Time now: 11 | Time now: 21.469399 |End 
 | Time now: 13 | Time now: 22.019399 |End 
 | Time now: 12 | Time now: 22.569399 |End 
 | Time now: 11 | Time now: 23.119399 |End 
 | Time now: 11 | Time now: 23.669399 |End 
 | Time now: 13 | Time now: 24.219399 |End 
 | Time now: 12 | Time now: 24.769399 |End 
 | Time now: 12 | Time now: 25.319399 |End 
 | Time now: 12 | Time now: 25.869399 |End 
 | Time now: 13 | Time now: 26.419399 |End 
 | Time now: 13 | Time now: 26.969399 |End 
 | Time now: 12 | Time now: 27.519399 |End 
 | Time now: 12 | Time now: 28.079079 |End 
 | Time now: 11 | Time now: 28.629079 |End 
 | Time now: 13 | Time now: 29.169399 |End 
 | Time now: 13 | Time now: 29.719399 |End 
 | Time now: 12 | Time now: 30.269399 |End 
 | Time now: 12 | Time now: 30.819399 |End 
 | Time now: 14 | Time now: 31.369399 |End 
 | Time now: 13 | Time now: 31.919399 |End 
 | Time now: 13 | Time now: 32.469399 |End 
 | Time now: 12 | Time now: 33.019399 |End 
 | Time now: 12 | Time now: 33.569399 |End 
 | Time now: 14 | Time now: 34.119399 |End 
 | Time now: 13 | Time now: 34.669399 |End 
 | Time now: 13 | Time now: 35.219399 |End 
 | Time now: 12 | Time now: 35.769399 |End 
 | Time now: 15 | Time now: 36.319399 |End 
 | Time now: 18 | Time now: 36.869397 |End 
 | Time now: 21 | Time now: 37.419397 |End 
 | Time now: 24 | Time now: 37.969399 |End 
 | Time now: 28 | Time now: 38.519404 |End 
 | Time now: 31 | Time now: 39.069410 |End 
 | Time now: 33 | Time now: 39.619421 |End 
 | Time now: 36 | Time now: 40.169435 |End 
 | Time now: 38 | Time now: 40.719456 |End 
 | Time now: 42 | Time now: 41.269484 |End 
 | Time now: 45 | Time now: 41.819516 |End 
 | Time now: 41 | Time now: 44.109803 |End 
 | Time now: 41 | Time now: 44.659805 |End 
 | Time now: 42 | Time now: 45.209808 |End 
 | Time now: 42 | Time now: 45.759810 |End 
 | Time now: 42 | Time now: 46.309813 |End 
 | Time now: 43 | Time now: 46.859816 |End 
 | Time now: 42 | Time now: 47.409819 |End 
 | Time now: 43 | Time now: 47.959822 |End 
 | Time now: 43 | Time now: 48.509826 |End 
 | Time now: 44 | Time now: 49.059829 |End 
 | Time now: 44 | Time now: 49.609833 |End 
 | Time now: 44 | Time now: 50.159837 |End 
 | Time now: 44 | Time now: 50.709841 |End 
 | Time now: 45 | Time now: 51.259844 |End 
 | Time now: 45 | Time now: 51.809848 |End 
 | Time now: 45 | Time now: 52.359852 |End 
 | Time now: 47 | Time now: 52.909856 |End 
 | Time now: 46 | Time now: 53.459859 |End 
 | Time now: 49 | Time now: 55.609872 |End 
 | Time now: 50 | Time now: 56.159874 |End 
 | Time now: 50 | Time now: 56.709877 |End 
 | Time now: 50 | Time now: 57.259879 |End 
 | Time now: 53 | Time now: 58.859882 |End 
 | Time now: 53 | Time now: 59.409883 |End 
 | Time now: 56 | Time now: 61.009883 |End 
 | Time now: 57 | Time now: 62.609882 |End 
 | Time now: 59 | Time now: 63.159882 |End 
 | Time now: 61 | Time now: 64.709884 |End 
 | Time now: 65 | Time now: 66.309889 |End 
