 | Time now: 17 | Time now: 1.129077 |End 
 | Time now: 18 | Time now: 1.679077 |End 
 | Time now: 20 | Time now: 2.229077 |End 
 | Time now: 21 | Time now: 2.779077 |End 
 | Time now: 21 | Time now: 3.329077 |End 
 | Time now: 22 | Time now: 3.879078 |End 
 | Time now: 24 | Time now: 4.429078 |End 
 | Time now: 24 | Time now: 4.979079 |End 
 | Time now: 25 | Time now: 5.529080 |End 
 | Time now: 27 | Time now: 6.079081 |End 
 | Time now: 27 | Time now: 6.629082 |End 
 | Time now: 28 | Time now: 7.179084 |End 
 | Time now: 28 | Time now: 7.729085 |End 
 | Time now: 30 | Time now: 8.279087 |End 
 | Time now: 30 | Time now: 8.829089 |End 
 | Time now: 31 | Time now: 9.379091 |End 
 | Time now: 31 | Time now: 9.929093 |End 
 | Time now: 33 | Time now: 10.479096 |End 
 | Time now: 33 | Time now: 11.029099 |End 
 | Time now: 34 | Time now: 11.579102 |End 
 | Time now: 35 | Time now: 12.129106 |End 
 | Time now: 35 | Time now: 12.669430 |End 
 | Time now: 36 | Time now: 13.219434 |End 
 | Time now: 36 | Time now: 13.769438 |End 
 | Time now: 38 | Time now: 14.319444 |End 
 | Time now: 38 | Time now: 14.869449 |End 
 | Time now: 38 | Time now: 15.419455 |End 
 | Time now: 39 | Time now: 15.969461 |End 
 | Time now: 40 | Time now: 16.519468 |End 
 | Time now: 41 | Time now: 17.069476 |End 
 | Time now: 41 | Time now: 17.619483 |End 
 | Time now: 43 | Time now: 18.169491 |End 
 | Time now: 43 | Time now: 18.719499 |End 
 | Time now: 44 | Time now: 19.819516 |End 
 | Time now: 46 | Time now: 20.369524 |End 
 | Time now: 46 | Time now: 20.919532 |End 
 | Time now: 47 | Time now: 21.459859 |End 
 | Time now: 50 | Time now: 23.059874 |End 
 | Time now: 50 | Time now: 23.609878 |End 
 | Time now: 54 | Time now: 25.209883 |End 
 | Time now: 54 | Time now: 25.759883 |End 
 | Time now: 57 | Time now: 26.309883 |End 
 | Time now: 63 | Time now: 28.459883 |End 
 | Time now: 72 | Time now: 31.959932 |End 
 | Time now: 79 | Time now: 33.560058 |End 
 | Time now: 66 | Time now: 37.759891 |End 
 | Time now: 61 | Time now: 38.459882 |End 
 | Time now: 46 | Time now: 40.609844 |End 
 | Time now: 42 | Time now: 42.759815 |End 
 | Time now: 46 | Time now: 43.309850 |End 
 | Time now: 50 | Time now: 44.909874 |End 
