 | Time now: 17 | Time now: 1.129079 |End 
 | Time now: 18 | Time now: 1.679079 |End 
 | Time now: 16 | Time now: 2.229079 |End 
 | Time now: 17 | Time now: 2.779079 |End 
 | Time now: 17 | Time now: 3.329079 |End 
 | Time now: 18 | Time now: 3.879079 |End 
 | Time now: 16 | Time now: 4.429079 |End 
 | Time now: 17 | Time now: 4.979079 |End 
 | Time now: 17 | Time now: 5.529079 |End 
 | Time now: 15 | Time now: 6.079079 |End 
 | Time now: 16 | Time now: 6.629079 |End 
 | Time now: 17 | Time now: 7.179079 |End 
 | Time now: 18 | Time now: 7.729079 |End 
 | Time now: 15 | Time now: 8.279079 |End 
 | Time now: 16 | Time now: 8.829079 |End 
 | Time now: 17 | Time now: 9.379079 |End 
 | Time now: 18 | Time now: 9.929079 |End 
 | Time now: 15 | Time now: 10.479079 |End 
 | Time now: 16 | Time now: 11.029079 |End 
 | Time now: 17 | Time now: 11.579079 |End 
 | Time now: 14 | Time now: 12.129079 |End 
 | Time now: 15 | Time now: 12.679079 |End 
 | Time now: 16 | Time now: 13.229079 |End 
 | Time now: 17 | Time now: 13.779079 |End 
 | Time now: 15 | Time now: 14.329079 |End 
 | Time now: 15 | Time now: 14.879079 |End 
 | Time now: 16 | Time now: 15.429079 |End 
 | Time now: 17 | Time now: 15.979079 |End 
 | Time now: 15 | Time now: 16.529079 |End 
 | Time now: 16 | Time now: 17.079079 |End 
 | Time now: 17 | Time now: 17.629079 |End 
 | Time now: 14 | Time now: 18.179079 |End 
 | Time now: 15 | Time now: 18.729079 |End 
 | Time now: 16 | Time now: 19.279079 |End 
 | Time now: 17 | Time now: 19.829079 |End 
 | Time now: 14 | Time now: 20.379079 |End 
 | Time now: 15 | Time now: 20.929079 |End 
 | Time now: 16 | Time now: 21.479079 |End 
 | Time now: 16 | Time now: 22.019399 |End 
 | Time now: 14 | Time now: 22.569399 |End 
 | Time now: 15 | Time now: 23.119399 |End 
 | Time now: 16 | Time now: 23.669399 |End 
 | Time now: 14 | Time now: 24.219399 |End 
 | Time now: 14 | Time now: 24.769399 |End 
 | Time now: 15 | Time now: 25.319399 |End 
 | Time now: 16 | Time now: 25.869399 |End 
 | Time now: 14 | Time now: 26.419399 |End 
 | Time now: 15 | Time now: 26.969399 |End 
 | Time now: 15 | Time now: 27.519399 |End 
 | Time now: 13 | Time now: 28.069399 |End 
 | Time now: 14 | Time now: 28.619399 |End 
 | Time now: 15 | Time now: 29.169399 |End 
 | Time now: 16 | Time now: 29.719399 |End 
 | Time now: 14 | Time now: 30.269399 |End 
 | Time now: 14 | Time now: 30.819399 |End 
 | Time now: 15 | Time now: 31.369399 |End 
 | Time now: 16 | Time now: 31.919399 |End 
 | Time now: 14 | Time now: 32.469399 |End 
 | Time now: 14 | Time now: 33.019399 |End 
 | Time now: 15 | Time now: 33.569399 |End 
 | Time now: 13 | Time now: 34.119399 |End 
 | Time now: 14 | Time now: 34.679079 |End 
 | Time now: 15 | Time now: 35.229079 |End 
 | Time now: 15 | Time now: 35.769399 |End 
 | Time now: 10 | Time now: 36.319399 |End 
 | Time now: 3 | Time now: 36.869399 |End 
 | Time now: 7 | Time now: 37.419399 |End 
 | Time now: 13 | Time now: 37.969399 |End 
 | Time now: 18 | Time now: 38.519397 |End 
 | Time now: 23 | Time now: 39.069399 |End 
 | Time now: 26 | Time now: 39.619404 |End 
 | Time now: 29 | Time now: 40.169411 |End 
 | Time now: 33 | Time now: 40.719424 |End 
 | Time now: 35 | Time now: 41.269441 |End 
 | Time now: 38 | Time now: 41.819466 |End 
 | Time now: 38 | Time now: 42.369452 |End 
 | Time now: 34 | Time now: 42.919428 |End 
 | Time now: 32 | Time now: 43.469416 |End 
 | Time now: 31 | Time now: 44.019412 |End 
 | Time now: 31 | Time now: 44.569412 |End 
 | Time now: 31 | Time now: 45.119413 |End 
 | Time now: 32 | Time now: 45.669413 |End 
 | Time now: 32 | Time now: 46.219414 |End 
 | Time now: 32 | Time now: 46.769415 |End 
 | Time now: 32 | Time now: 47.319417 |End 
 | Time now: 33 | Time now: 47.879098 |End 
 | Time now: 33 | Time now: 48.419420 |End 
 | Time now: 33 | Time now: 48.969422 |End 
 | Time now: 34 | Time now: 49.519424 |End 
 | Time now: 34 | Time now: 50.069426 |End 
 | Time now: 35 | Time now: 50.619429 |End 
 | Time now: 35 | Time now: 51.169432 |End 
 | Time now: 36 | Time now: 51.719435 |End 
 | Time now: 36 | Time now: 52.269439 |End 
 | Time now: 37 | Time now: 52.819443 |End 
 | Time now: 37 | Time now: 53.369448 |End 
 | Time now: 38 | Time now: 53.919453 |End 
 | Time now: 38 | Time now: 54.469458 |End 
 | Time now: 39 | Time now: 55.019464 |End 
 | Time now: 40 | Time now: 55.569471 |End 
 | Time now: 39 | Time now: 56.119477 |End 
 | Time now: 40 | Time now: 57.219481 |End 
 | Time now: 40 | Time now: 57.779163 |End 
 | Time now: 40 | Time now: 58.319486 |End 
 | Time now: 41 | Time now: 60.469496 |End 
 | Time now: 42 | Time now: 61.009819 |End 
 | Time now: 43 | Time now: 62.619507 |End 
 | Time now: 43 | Time now: 63.159830 |End 
 | Time now: 43 | Time now: 63.709833 |End 
 | Time now: 44 | Time now: 64.219516 |End 
 | Time now: 44 | Time now: 64.769519 |End 
 | Time now: 44 | Time now: 65.309842 |End 
 | Time now: 45 | Time now: 65.859845 |End 
 | Time now: 45 | Time now: 67.459853 |End 
 | Time now: 46 | Time now: 69.059861 |End 
 | Time now: 47 | Time now: 70.969550 |End 
 | Time now: 51 | Time now: 74.709880 |End 
 | Time now: 52 | Time now: 76.309882 |End 
 | Time now: 54 | Time now: 77.909883 |End 
 | Time now: 54 | Time now: 78.459883 |End 
 | Time now: 56 | Time now: 80.059883 |End 
 | Time now: 59 | Time now: 83.559882 |End 
 | Time now: 61 | Time now: 85.159883 |End 
 | Time now: 63 | Time now: 87.059885 |End 
 | Time now: 66 | Time now: 89.209891 |End 
 | Time now: 67 | Time now: 94.559895 |End 
 | Time now: 67 | Time now: 96.159895 |End 
 | Time now: 67 | Time now: 104.459895 |End 
 | Time now: 67 | Time now: 106.609895 |End 
 | Time now: 67 | Time now: 110.359895 |End 
 | Time now: 67 | Time now: 110.909895 |End 
 | Time now: 67 | Time now: 114.659895 |End 
