 | Time now: 15 | Time now: 1.109717 |End 
 | Time now: 15 | Time now: 1.659717 |End 
 | Time now: 18 | Time now: 2.209717 |End 
 | Time now: 19 | Time now: 2.759717 |End 
 | Time now: 19 | Time now: 3.309717 |End 
 | Time now: 20 | Time now: 3.859718 |End 
 | Time now: 22 | Time now: 4.409718 |End 
 | Time now: 23 | Time now: 4.959719 |End 
 | Time now: 23 | Time now: 5.509720 |End 
 | Time now: 25 | Time now: 6.059721 |End 
 | Time now: 26 | Time now: 6.609722 |End 
 | Time now: 26 | Time now: 7.159724 |End 
 | Time now: 27 | Time now: 7.709725 |End 
 | Time now: 29 | Time now: 8.259727 |End 
 | Time now: 29 | Time now: 8.809729 |End 
 | Time now: 30 | Time now: 9.359731 |End 
 | Time now: 30 | Time now: 9.909733 |End 
 | Time now: 32 | Time now: 10.459736 |End 
 | Time now: 32 | Time now: 11.009739 |End 
 | Time now: 32 | Time now: 11.559742 |End 
 | Time now: 34 | Time now: 12.109746 |End 
 | Time now: 34 | Time now: 12.659750 |End 
 | Time now: 35 | Time now: 13.209754 |End 
 | Time now: 35 | Time now: 13.759758 |End 
 | Time now: 37 | Time now: 14.309763 |End 
 | Time now: 37 | Time now: 14.859769 |End 
 | Time now: 37 | Time now: 15.409775 |End 
 | Time now: 38 | Time now: 15.959781 |End 
 | Time now: 39 | Time now: 16.509788 |End 
 | Time now: 39 | Time now: 17.059795 |End 
 | Time now: 40 | Time now: 17.609803 |End 
 | Time now: 42 | Time now: 18.159811 |End 
 | Time now: 42 | Time now: 18.709819 |End 
 | Time now: 42 | Time now: 19.259828 |End 
 | Time now: 43 | Time now: 19.959838 |End 
 | Time now: 45 | Time now: 20.509846 |End 
 | Time now: 45 | Time now: 21.059853 |End 
 | Time now: 48 | Time now: 23.209875 |End 
 | Time now: 52 | Time now: 25.359883 |End 
 | Time now: 53 | Time now: 25.909883 |End 
 | Time now: 55 | Time now: 26.459883 |End 
 | Time now: 61 | Time now: 28.609884 |End 
 | Time now: 69 | Time now: 31.809926 |End 
 | Time now: 58 | Time now: 38.309883 |End 
 | Time now: 54 | Time now: 38.859883 |End 
 | Time now: 45 | Time now: 40.459851 |End 
 | Time now: 42 | Time now: 41.009825 |End 
 | Time now: 41 | Time now: 42.609807 |End 
 | Time now: 43 | Time now: 43.159840 |End 
 | Time now: 48 | Time now: 45.059872 |End 
 | Time now: 46 | Time now: 45.609866 |End 
 | Time now: 46 | Time now: 46.159857 |End 
 | Time now: 42 | Time now: 47.759828 |End 
 | Time now: 42 | Time now: 48.309818 |End 
 | Time now: 40 | Time now: 48.859807 |End 
 | Time now: 40 | Time now: 49.409797 |End 
 | Time now: 36 | Time now: 51.309768 |End 
 | Time now: 36 | Time now: 51.859762 |End 
 | Time now: 34 | Time now: 52.409756 |End 
 | Time now: 34 | Time now: 52.959750 |End 
 | Time now: 34 | Time now: 53.509745 |End 
 | Time now: 32 | Time now: 54.059741 |End 
 | Time now: 32 | Time now: 54.609737 |End 
 | Time now: 30 | Time now: 55.159734 |End 
 | Time now: 30 | Time now: 55.709731 |End 
 | Time now: 28 | Time now: 56.259729 |End 
 | Time now: 28 | Time now: 56.809727 |End 
 | Time now: 28 | Time now: 57.359725 |End 
 | Time now: 27 | Time now: 57.909724 |End 
 | Time now: 25 | Time now: 58.459722 |End 
 | Time now: 25 | Time now: 59.009721 |End 
 | Time now: 24 | Time now: 59.559720 |End 
 | Time now: 23 | Time now: 60.109719 |End 
 | Time now: 21 | Time now: 60.659718 |End 
 | Time now: 21 | Time now: 61.209718 |End 
 | Time now: 20 | Time now: 61.759717 |End 
 | Time now: 19 | Time now: 62.309717 |End 
 | Time now: 17 | Time now: 62.859717 |End 
 | Time now: 16 | Time now: 63.409717 |End 
 | Time now: 15 | Time now: 63.959717 |End 
 | Time now: 15 | Time now: 64.509719 |End 
 | Time now: 12 | Time now: 65.059719 |End 
 | Time now: 11 | Time now: 65.609719 |End 
 | Time now: 11 | Time now: 66.159719 |End 
 | Time now: 10 | Time now: 66.709719 |End 
 | Time now: 7 | Time now: 67.259719 |End 
 | Time now: 7 | Time now: 67.859719 |End 
 | Time now: 8 | Time now: 68.409719 |End 
 | Time now: 6 | Time now: 68.959719 |End 
 | Time now: 8 | Time now: 69.509719 |End 
 | Time now: 9 | Time now: 70.059719 |End 
 | Time now: 9 | Time now: 70.609719 |End 
 | Time now: 10 | Time now: 71.159719 |End 
 | Time now: 13 | Time now: 71.709719 |End 
 | Time now: 14 | Time now: 72.259719 |End 
 | Time now: 14 | Time now: 72.809719 |End 
 | Time now: 15 | Time now: 73.359719 |End 
 | Time now: 18 | Time now: 73.909718 |End 
 | Time now: 18 | Time now: 74.459717 |End 
 | Time now: 19 | Time now: 75.009717 |End 
 | Time now: 20 | Time now: 75.559717 |End 
 | Time now: 22 | Time now: 76.109717 |End 
 | Time now: 22 | Time now: 76.659717 |End 
 | Time now: 23 | Time now: 77.209718 |End 
 | Time now: 23 | Time now: 77.759718 |End 
 | Time now: 23 | Time now: 78.309719 |End 
 | Time now: 25 | Time now: 78.859719 |End 
 | Time now: 26 | Time now: 79.409720 |End 
 | Time now: 26 | Time now: 79.959721 |End 
 | Time now: 26 | Time now: 80.509721 |End 
 | Time now: 27 | Time now: 81.059722 |End 
 | Time now: 27 | Time now: 81.609723 |End 
 | Time now: 29 | Time now: 82.159724 |End 
 | Time now: 29 | Time now: 82.709725 |End 
 | Time now: 29 | Time now: 83.259727 |End 
 | Time now: 30 | Time now: 83.809728 |End 
 | Time now: 30 | Time now: 84.359729 |End 
 | Time now: 32 | Time now: 84.909731 |End 
 | Time now: 32 | Time now: 85.459732 |End 
 | Time now: 32 | Time now: 86.009734 |End 
 | Time now: 32 | Time now: 86.559736 |End 
 | Time now: 32 | Time now: 87.109738 |End 
 | Time now: 34 | Time now: 87.659740 |End 
 | Time now: 34 | Time now: 88.209743 |End 
 | Time now: 35 | Time now: 90.309752 |End 
 | Time now: 35 | Time now: 90.859752 |End 
 | Time now: 35 | Time now: 91.409752 |End 
 | Time now: 35 | Time now: 91.959752 |End 
 | Time now: 35 | Time now: 92.509752 |End 
 | Time now: 35 | Time now: 93.059752 |End 
 | Time now: 35 | Time now: 93.609752 |End 
 | Time now: 35 | Time now: 94.159752 |End 
 | Time now: 35 | Time now: 94.709752 |End 
 | Time now: 35 | Time now: 95.259752 |End 
 | Time now: 35 | Time now: 95.809752 |End 
 | Time now: 35 | Time now: 96.359752 |End 
 | Time now: 35 | Time now: 96.909752 |End 
 | Time now: 35 | Time now: 97.459752 |End 
 | Time now: 35 | Time now: 98.209752 |End 
 | Time now: 35 | Time now: 98.759752 |End 
 | Time now: 35 | Time now: 99.309752 |End 
 | Time now: 35 | Time now: 99.859752 |End 
 | Time now: 35 | Time now: 100.409752 |End 
 | Time now: 35 | Time now: 100.959752 |End 
 | Time now: 35 | Time now: 101.509752 |End 
 | Time now: 35 | Time now: 102.059752 |End 
 | Time now: 35 | Time now: 102.609752 |End 
 | Time now: 35 | Time now: 103.159752 |End 
 | Time now: 35 | Time now: 103.709752 |End 
