 | Time now: 17 | Time now: 1.109717 |End 
 | Time now: 18 | Time now: 1.659717 |End 
 | Time now: 21 | Time now: 2.209717 |End 
 | Time now: 20 | Time now: 2.759718 |End 
 | Time now: 21 | Time now: 3.309718 |End 
 | Time now: 22 | Time now: 3.859719 |End 
 | Time now: 24 | Time now: 4.409719 |End 
 | Time now: 25 | Time now: 4.959720 |End 
 | Time now: 25 | Time now: 5.509721 |End 
 | Time now: 27 | Time now: 6.059723 |End 
 | Time now: 27 | Time now: 6.609724 |End 
 | Time now: 28 | Time now: 7.159726 |End 
 | Time now: 28 | Time now: 7.709727 |End 
 | Time now: 30 | Time now: 8.259729 |End 
 | Time now: 30 | Time now: 8.809731 |End 
 | Time now: 31 | Time now: 9.359734 |End 
 | Time now: 31 | Time now: 9.909737 |End 
 | Time now: 33 | Time now: 10.459740 |End 
 | Time now: 33 | Time now: 11.009743 |End 
 | Time now: 33 | Time now: 11.559746 |End 
 | Time now: 35 | Time now: 12.659755 |End 
 | Time now: 36 | Time now: 13.209759 |End 
 | Time now: 36 | Time now: 13.759764 |End 
 | Time now: 37 | Time now: 14.309770 |End 
 | Time now: 38 | Time now: 14.859776 |End 
 | Time now: 38 | Time now: 15.409782 |End 
 | Time now: 41 | Time now: 17.559812 |End 
 | Time now: 43 | Time now: 18.109820 |End 
 | Time now: 43 | Time now: 18.659828 |End 
 | Time now: 46 | Time now: 20.809859 |End 
 | Time now: 46 | Time now: 21.359865 |End 
 | Time now: 47 | Time now: 21.909870 |End 
 | Time now: 50 | Time now: 23.809881 |End 
 | Time now: 52 | Time now: 24.359883 |End 
 | Time now: 53 | Time now: 24.909883 |End 
 | Time now: 54 | Time now: 25.459883 |End 
 | Time now: 55 | Time now: 26.009883 |End 
 | Time now: 64 | Time now: 29.209890 |End 
 | Time now: 70 | Time now: 30.809916 |End 
 | Time now: 74 | Time now: 69.509939 |End 
 | Time now: 73 | Time now: 72.709925 |End 
 | Time now: 73 | Time now: 73.259923 |End 
 | Time now: 72 | Time now: 76.759915 |End 
 | Time now: 68 | Time now: 83.709896 |End 
 | Time now: 67 | Time now: 87.459891 |End 
 | Time now: 66 | Time now: 92.259888 |End 
 | Time now: 66 | Time now: 94.409888 |End 
 | Time now: 66 | Time now: 99.509888 |End 
 | Time now: 66 | Time now: 100.059888 |End 
 | Time now: 66 | Time now: 102.209888 |End 
 | Time now: 66 | Time now: 104.359888 |End 
 | Time now: 66 | Time now: 109.159888 |End 
 | Time now: 66 | Time now: 112.659888 |End 
 | Time now: 66 | Time now: 115.859888 |End 
 | Time now: 66 | Time now: 118.009888 |End 
 | Time now: 66 | Time now: 119.609888 |End 
