 | Time now: 14 | Time now: 1.119399 |End 
 | Time now: 15 | Time now: 1.669399 |End 
 | Time now: 13 | Time now: 2.219399 |End 
 | Time now: 14 | Time now: 2.769399 |End 
 | Time now: 15 | Time now: 3.319399 |End 
 | Time now: 15 | Time now: 3.869399 |End 
 | Time now: 14 | Time now: 4.419399 |End 
 | Time now: 14 | Time now: 4.969399 |End 
 | Time now: 15 | Time now: 5.519399 |End 
 | Time now: 13 | Time now: 6.069399 |End 
 | Time now: 14 | Time now: 6.619399 |End 
 | Time now: 15 | Time now: 7.169399 |End 
 | Time now: 15 | Time now: 7.719399 |End 
 | Time now: 14 | Time now: 8.269399 |End 
 | Time now: 14 | Time now: 8.819399 |End 
 | Time now: 15 | Time now: 9.369399 |End 
 | Time now: 15 | Time now: 9.919399 |End 
 | Time now: 14 | Time now: 10.469399 |End 
 | Time now: 15 | Time now: 11.019399 |End 
 | Time now: 15 | Time now: 11.569399 |End 
 | Time now: 14 | Time now: 12.119399 |End 
 | Time now: 14 | Time now: 12.669399 |End 
 | Time now: 15 | Time now: 13.219399 |End 
 | Time now: 15 | Time now: 13.769399 |End 
 | Time now: 14 | Time now: 14.319399 |End 
 | Time now: 15 | Time now: 14.869399 |End 
 | Time now: 15 | Time now: 15.419399 |End 
 | Time now: 16 | Time now: 15.969399 |End 
 | Time now: 15 | Time now: 16.519399 |End 
 | Time now: 15 | Time now: 17.069399 |End 
 | Time now: 16 | Time now: 17.619399 |End 
 | Time now: 15 | Time now: 18.169399 |End 
 | Time now: 15 | Time now: 18.719399 |End 
 | Time now: 15 | Time now: 19.269399 |End 
 | Time now: 16 | Time now: 19.819399 |End 
 | Time now: 15 | Time now: 20.369399 |End 
 | Time now: 15 | Time now: 20.919399 |End 
 | Time now: 16 | Time now: 21.469399 |End 
 | Time now: 17 | Time now: 22.009719 |End 
 | Time now: 15 | Time now: 22.559719 |End 
 | Time now: 16 | Time now: 23.109719 |End 
 | Time now: 16 | Time now: 23.659719 |End 
 | Time now: 16 | Time now: 24.209718 |End 
 | Time now: 16 | Time now: 24.759718 |End 
 | Time now: 16 | Time now: 25.309717 |End 
 | Time now: 17 | Time now: 25.859717 |End 
 | Time now: 16 | Time now: 26.409717 |End 
 | Time now: 16 | Time now: 26.959717 |End 
 | Time now: 17 | Time now: 27.509717 |End 
 | Time now: 16 | Time now: 28.059717 |End 
 | Time now: 17 | Time now: 28.609717 |End 
 | Time now: 17 | Time now: 29.159717 |End 
 | Time now: 17 | Time now: 29.709717 |End 
 | Time now: 17 | Time now: 30.259717 |End 
 | Time now: 17 | Time now: 30.809717 |End 
 | Time now: 17 | Time now: 31.359717 |End 
 | Time now: 17 | Time now: 31.909717 |End 
 | Time now: 17 | Time now: 32.459717 |End 
 | Time now: 17 | Time now: 33.009717 |End 
 | Time now: 18 | Time now: 33.559717 |End 
 | Time now: 18 | Time now: 34.109717 |End 
 | Time now: 18 | Time now: 34.669397 |End 
 | Time now: 18 | Time now: 35.219397 |End 
 | Time now: 18 | Time now: 35.759717 |End 
 | Time now: 18 | Time now: 36.309717 |End 
 | Time now: 18 | Time now: 36.859717 |End 
 | Time now: 18 | Time now: 37.409717 |End 
 | Time now: 20 | Time now: 37.959717 |End 
 | Time now: 20 | Time now: 38.509717 |End 
 | Time now: 21 | Time now: 39.059717 |End 
 | Time now: 21 | Time now: 39.609718 |End 
 | Time now: 21 | Time now: 40.159718 |End 
 | Time now: 23 | Time now: 40.709718 |End 
 | Time now: 23 | Time now: 41.259719 |End 
 | Time now: 23 | Time now: 41.809719 |End 
 | Time now: 24 | Time now: 42.359719 |End 
 | Time now: 24 | Time now: 42.909719 |End 
 | Time now: 24 | Time now: 43.459719 |End 
 | Time now: 24 | Time now: 44.009719 |End 
 | Time now: 24 | Time now: 44.559720 |End 
