 | Time now: 14 | Time now: 1.119399 |End 
 | Time now: 13 | Time now: 1.669399 |End 
 | Time now: 14 | Time now: 2.219399 |End 
 | Time now: 14 | Time now: 2.769399 |End 
 | Time now: 13 | Time now: 3.319399 |End 
 | Time now: 12 | Time now: 3.869399 |End 
 | Time now: 14 | Time now: 4.419399 |End 
 | Time now: 14 | Time now: 4.969399 |End 
 | Time now: 13 | Time now: 5.519399 |End 
 | Time now: 14 | Time now: 6.069399 |End 
 | Time now: 13 | Time now: 6.619399 |End 
 | Time now: 12 | Time now: 7.169399 |End 
 | Time now: 13 | Time now: 7.719399 |End 
 | Time now: 14 | Time now: 8.269399 |End 
 | Time now: 13 | Time now: 8.819399 |End 
 | Time now: 12 | Time now: 9.369399 |End 
 | Time now: 12 | Time now: 9.919399 |End 
 | Time now: 13 | Time now: 10.469399 |End 
 | Time now: 13 | Time now: 11.019399 |End 
 | Time now: 12 | Time now: 11.569399 |End 
 | Time now: 14 | Time now: 12.119399 |End 
 | Time now: 13 | Time now: 12.669399 |End 
 | Time now: 12 | Time now: 13.219399 |End 
 | Time now: 11 | Time now: 13.769399 |End 
 | Time now: 13 | Time now: 14.319399 |End 
 | Time now: 13 | Time now: 14.869399 |End 
 | Time now: 12 | Time now: 15.419399 |End 
 | Time now: 11 | Time now: 15.969399 |End 
 | Time now: 13 | Time now: 16.519399 |End 
 | Time now: 12 | Time now: 17.069399 |End 
 | Time now: 12 | Time now: 17.619399 |End 
 | Time now: 13 | Time now: 18.169399 |End 
 | Time now: 12 | Time now: 18.719399 |End 
 | Time now: 12 | Time now: 19.269399 |End 
 | Time now: 11 | Time now: 19.809719 |End 
 | Time now: 13 | Time now: 20.359719 |End 
 | Time now: 12 | Time now: 20.909719 |End 
 | Time now: 11 | Time now: 21.459719 |End 
 | Time now: 11 | Time now: 22.009719 |End 
 | Time now: 13 | Time now: 22.559719 |End 
 | Time now: 12 | Time now: 23.109719 |End 
 | Time now: 11 | Time now: 23.659719 |End 
 | Time now: 13 | Time now: 24.209719 |End 
 | Time now: 12 | Time now: 24.759719 |End 
 | Time now: 11 | Time now: 25.309719 |End 
 | Time now: 11 | Time now: 25.859719 |End 
 | Time now: 13 | Time now: 26.409719 |End 
 | Time now: 12 | Time now: 26.959719 |End 
 | Time now: 11 | Time now: 27.509719 |End 
 | Time now: 13 | Time now: 28.069399 |End 
 | Time now: 12 | Time now: 28.619399 |End 
 | Time now: 12 | Time now: 29.159719 |End 
 | Time now: 11 | Time now: 29.709719 |End 
 | Time now: 13 | Time now: 30.259719 |End 
 | Time now: 12 | Time now: 30.809719 |End 
 | Time now: 11 | Time now: 31.359719 |End 
 | Time now: 11 | Time now: 31.909719 |End 
 | Time now: 12 | Time now: 32.459719 |End 
 | Time now: 12 | Time now: 33.009719 |End 
 | Time now: 11 | Time now: 33.559719 |End 
 | Time now: 13 | Time now: 34.109719 |End 
 | Time now: 12 | Time now: 34.659719 |End 
 | Time now: 12 | Time now: 35.209719 |End 
 | Time now: 11 | Time now: 35.759719 |End 
 | Time now: 8 | Time now: 36.309719 |End 
 | Time now: 4 | Time now: 36.859719 |End 
 | Time now: 9 | Time now: 37.409719 |End 
 | Time now: 14 | Time now: 37.959719 |End 
 | Time now: 21 | Time now: 38.509717 |End 
 | Time now: 25 | Time now: 39.059719 |End 
 | Time now: 28 | Time now: 39.609724 |End 
 | Time now: 31 | Time now: 40.159731 |End 
 | Time now: 34 | Time now: 40.709743 |End 
 | Time now: 38 | Time now: 41.259761 |End 
 | Time now: 40 | Time now: 41.809786 |End 
 | Time now: 39 | Time now: 42.359772 |End 
 | Time now: 35 | Time now: 42.909748 |End 
 | Time now: 32 | Time now: 43.459736 |End 
 | Time now: 31 | Time now: 44.009732 |End 
 | Time now: 31 | Time now: 44.559732 |End 
 | Time now: 31 | Time now: 45.109733 |End 
 | Time now: 32 | Time now: 45.659733 |End 
 | Time now: 31 | Time now: 46.209734 |End 
 | Time now: 33 | Time now: 46.759735 |End 
 | Time now: 32 | Time now: 47.309737 |End 
 | Time now: 33 | Time now: 47.859738 |End 
 | Time now: 33 | Time now: 48.409740 |End 
 | Time now: 34 | Time now: 48.959742 |End 
 | Time now: 34 | Time now: 49.509744 |End 
 | Time now: 35 | Time now: 50.059746 |End 
 | Time now: 35 | Time now: 50.609749 |End 
 | Time now: 35 | Time now: 51.159752 |End 
 | Time now: 36 | Time now: 51.709755 |End 
 | Time now: 36 | Time now: 52.259759 |End 
 | Time now: 37 | Time now: 52.809763 |End 
 | Time now: 38 | Time now: 53.359768 |End 
 | Time now: 39 | Time now: 53.909773 |End 
 | Time now: 39 | Time now: 54.459778 |End 
 | Time now: 40 | Time now: 55.009784 |End 
 | Time now: 40 | Time now: 55.559791 |End 
 | Time now: 41 | Time now: 56.109797 |End 
 | Time now: 41 | Time now: 56.659799 |End 
 | Time now: 41 | Time now: 57.369482 |End 
 | Time now: 41 | Time now: 57.919484 |End 
 | Time now: 42 | Time now: 58.469486 |End 
 | Time now: 43 | Time now: 60.609817 |End 
 | Time now: 44 | Time now: 62.759828 |End 
 | Time now: 44 | Time now: 63.309831 |End 
 | Time now: 44 | Time now: 63.859834 |End 
 | Time now: 44 | Time now: 64.409837 |End 
 | Time now: 46 | Time now: 64.959840 |End 
 | Time now: 46 | Time now: 65.509843 |End 
 | Time now: 47 | Time now: 69.209862 |End 
 | Time now: 48 | Time now: 70.809869 |End 
 | Time now: 48 | Time now: 71.359871 |End 
 | Time now: 50 | Time now: 72.959876 |End 
 | Time now: 54 | Time now: 78.059883 |End 
 | Time now: 56 | Time now: 80.209883 |End 
 | Time now: 59 | Time now: 81.809883 |End 
 | Time now: 59 | Time now: 83.409882 |End 
