 | Time now: 12 | Time now: 1.109719 |End 
 | Time now: 13 | Time now: 1.659719 |End 
 | Time now: 13 | Time now: 2.209719 |End 
 | Time now: 14 | Time now: 2.759719 |End 
 | Time now: 15 | Time now: 3.309719 |End 
 | Time now: 15 | Time now: 3.859719 |End 
 | Time now: 17 | Time now: 4.409717 |End 
 | Time now: 17 | Time now: 4.959717 |End 
 | Time now: 18 | Time now: 5.509717 |End 
 | Time now: 20 | Time now: 6.059717 |End 
 | Time now: 20 | Time now: 6.609717 |End 
 | Time now: 21 | Time now: 7.159718 |End 
 | Time now: 22 | Time now: 7.709718 |End 
 | Time now: 23 | Time now: 8.259719 |End 
 | Time now: 24 | Time now: 8.809720 |End 
 | Time now: 24 | Time now: 9.359721 |End 
 | Time now: 25 | Time now: 9.909722 |End 
 | Time now: 27 | Time now: 10.459723 |End 
 | Time now: 27 | Time now: 11.009724 |End 
 | Time now: 28 | Time now: 11.559726 |End 
 | Time now: 29 | Time now: 12.109728 |End 
 | Time now: 30 | Time now: 12.659730 |End 
 | Time now: 30 | Time now: 13.209732 |End 
 | Time now: 31 | Time now: 13.759734 |End 
 | Time now: 32 | Time now: 14.309737 |End 
 | Time now: 32 | Time now: 14.859740 |End 
 | Time now: 33 | Time now: 15.409743 |End 
 | Time now: 33 | Time now: 15.959747 |End 
 | Time now: 35 | Time now: 16.509751 |End 
 | Time now: 35 | Time now: 17.059755 |End 
 | Time now: 35 | Time now: 17.609760 |End 
 | Time now: 37 | Time now: 18.159765 |End 
 | Time now: 37 | Time now: 18.709770 |End 
 | Time now: 38 | Time now: 19.259776 |End 
 | Time now: 38 | Time now: 19.809782 |End 
 | Time now: 39 | Time now: 20.359789 |End 
 | Time now: 40 | Time now: 21.459804 |End 
 | Time now: 42 | Time now: 23.059827 |End 
 | Time now: 43 | Time now: 23.609836 |End 
 | Time now: 44 | Time now: 24.159843 |End 
 | Time now: 45 | Time now: 24.709851 |End 
 | Time now: 45 | Time now: 25.259858 |End 
 | Time now: 46 | Time now: 25.809864 |End 
 | Time now: 49 | Time now: 27.709879 |End 
 | Time now: 51 | Time now: 28.259881 |End 
 | Time now: 62 | Time now: 33.059885 |End 
 | Time now: 67 | Time now: 34.659900 |End 
 | Time now: 74 | Time now: 36.809961 |End 
 | Time now: 78 | Time now: 47.860020 |End 
 | Time now: 72 | Time now: 51.059929 |End 
 | Time now: 70 | Time now: 52.659910 |End 
 | Time now: 57 | Time now: 59.359882 |End 
 | Time now: 56 | Time now: 59.909882 |End 
 | Time now: 54 | Time now: 62.059883 |End 
 | Time now: 52 | Time now: 64.209882 |End 
 | Time now: 47 | Time now: 67.959869 |End 
 | Time now: 45 | Time now: 70.109856 |End 
 | Time now: 45 | Time now: 70.659852 |End 
 | Time now: 45 | Time now: 71.209848 |End 
 | Time now: 44 | Time now: 71.759844 |End 
 | Time now: 44 | Time now: 72.309840 |End 
 | Time now: 44 | Time now: 72.859836 |End 
 | Time now: 44 | Time now: 73.409832 |End 
 | Time now: 43 | Time now: 75.009821 |End 
 | Time now: 43 | Time now: 75.559817 |End 
 | Time now: 42 | Time now: 76.109814 |End 
 | Time now: 42 | Time now: 76.659812 |End 
 | Time now: 41 | Time now: 77.209809 |End 
 | Time now: 41 | Time now: 77.759807 |End 
 | Time now: 41 | Time now: 78.309805 |End 
 | Time now: 41 | Time now: 78.859803 |End 
 | Time now: 41 | Time now: 79.409801 |End 
 | Time now: 40 | Time now: 79.959799 |End 
 | Time now: 40 | Time now: 80.509797 |End 
 | Time now: 40 | Time now: 81.059795 |End 
 | Time now: 40 | Time now: 81.609793 |End 
 | Time now: 40 | Time now: 82.159791 |End 
 | Time now: 40 | Time now: 82.709789 |End 
 | Time now: 39 | Time now: 83.259787 |End 
 | Time now: 39 | Time now: 83.809785 |End 
 | Time now: 39 | Time now: 84.359784 |End 
 | Time now: 39 | Time now: 84.909782 |End 
 | Time now: 39 | Time now: 85.459780 |End 
 | Time now: 38 | Time now: 86.009779 |End 
 | Time now: 38 | Time now: 86.559777 |End 
 | Time now: 38 | Time now: 87.109776 |End 
 | Time now: 38 | Time now: 87.659774 |End 
 | Time now: 38 | Time now: 88.209773 |End 
 | Time now: 38 | Time now: 88.759771 |End 
 | Time now: 38 | Time now: 89.309770 |End 
 | Time now: 37 | Time now: 89.859769 |End 
 | Time now: 37 | Time now: 90.409768 |End 
 | Time now: 37 | Time now: 90.959768 |End 
 | Time now: 37 | Time now: 91.509768 |End 
 | Time now: 37 | Time now: 92.059768 |End 
 | Time now: 37 | Time now: 92.609768 |End 
 | Time now: 37 | Time now: 93.159768 |End 
 | Time now: 37 | Time now: 93.709768 |End 
 | Time now: 37 | Time now: 94.259768 |End 
 | Time now: 37 | Time now: 94.809768 |End 
 | Time now: 37 | Time now: 95.359768 |End 
 | Time now: 37 | Time now: 95.909768 |End 
 | Time now: 37 | Time now: 96.459768 |End 
 | Time now: 37 | Time now: 97.009768 |End 
 | Time now: 37 | Time now: 97.559768 |End 
 | Time now: 37 | Time now: 98.109768 |End 
 | Time now: 37 | Time now: 98.659768 |End 
 | Time now: 37 | Time now: 99.209768 |End 
 | Time now: 37 | Time now: 99.759768 |End 
 | Time now: 37 | Time now: 100.309768 |End 
 | Time now: 37 | Time now: 100.859768 |End 
 | Time now: 37 | Time now: 101.409768 |End 
 | Time now: 37 | Time now: 101.959768 |End 
 | Time now: 37 | Time now: 102.509768 |End 
 | Time now: 37 | Time now: 103.059768 |End 
 | Time now: 37 | Time now: 103.609768 |End 
 | Time now: 37 | Time now: 104.159768 |End 
 | Time now: 37 | Time now: 104.709768 |End 
 | Time now: 37 | Time now: 105.259768 |End 
 | Time now: 37 | Time now: 105.809768 |End 
 | Time now: 37 | Time now: 106.359768 |End 
 | Time now: 37 | Time now: 106.909768 |End 
 | Time now: 37 | Time now: 107.459768 |End 
 | Time now: 37 | Time now: 109.359768 |End 
 | Time now: 37 | Time now: 109.909768 |End 
 | Time now: 37 | Time now: 110.459768 |End 
 | Time now: 37 | Time now: 111.009768 |End 
 | Time now: 37 | Time now: 111.559768 |End 
 | Time now: 37 | Time now: 112.109768 |End 
 | Time now: 37 | Time now: 112.659768 |End 
 | Time now: 37 | Time now: 113.209768 |End 
 | Time now: 37 | Time now: 113.759768 |End 
 | Time now: 37 | Time now: 114.309768 |End 
 | Time now: 37 | Time now: 114.859768 |End 
 | Time now: 37 | Time now: 115.409768 |End 
 | Time now: 37 | Time now: 115.959768 |End 
 | Time now: 37 | Time now: 116.509768 |End 
 | Time now: 37 | Time now: 117.059768 |End 
 | Time now: 37 | Time now: 117.609768 |End 
 | Time now: 37 | Time now: 118.159768 |End 
 | Time now: 37 | Time now: 118.709768 |End 
 | Time now: 37 | Time now: 119.259768 |End 
