 | Time now: 18 | Time now: 1.119397 |End 
 | Time now: 18 | Time now: 1.669397 |End 
 | Time now: 21 | Time now: 2.219397 |End 
 | Time now: 22 | Time now: 2.769398 |End 
 | Time now: 22 | Time now: 3.319398 |End 
 | Time now: 23 | Time now: 3.869399 |End 
 | Time now: 25 | Time now: 4.419399 |End 
 | Time now: 25 | Time now: 4.969400 |End 
 | Time now: 26 | Time now: 5.519401 |End 
 | Time now: 28 | Time now: 6.069403 |End 
 | Time now: 28 | Time now: 6.619404 |End 
 | Time now: 28 | Time now: 7.169406 |End 
 | Time now: 29 | Time now: 7.719407 |End 
 | Time now: 31 | Time now: 8.269409 |End 
 | Time now: 31 | Time now: 8.819411 |End 
 | Time now: 31 | Time now: 9.369414 |End 
 | Time now: 32 | Time now: 9.919417 |End 
 | Time now: 34 | Time now: 10.469420 |End 
 | Time now: 34 | Time now: 11.019423 |End 
 | Time now: 34 | Time now: 11.569426 |End 
 | Time now: 36 | Time now: 12.119430 |End 
 | Time now: 36 | Time now: 12.809756 |End 
 | Time now: 37 | Time now: 13.359761 |End 
 | Time now: 37 | Time now: 13.909766 |End 
 | Time now: 38 | Time now: 14.459772 |End 
 | Time now: 39 | Time now: 15.009778 |End 
 | Time now: 42 | Time now: 17.109805 |End 
 | Time now: 42 | Time now: 17.709814 |End 
 | Time now: 44 | Time now: 18.259822 |End 
 | Time now: 44 | Time now: 18.809831 |End 
 | Time now: 47 | Time now: 20.959860 |End 
 | Time now: 48 | Time now: 21.509866 |End 
 | Time now: 50 | Time now: 22.059872 |End 
 | Time now: 51 | Time now: 23.659881 |End 
 | Time now: 54 | Time now: 24.209882 |End 
 | Time now: 55 | Time now: 24.759883 |End 
 | Time now: 55 | Time now: 25.309883 |End 
 | Time now: 56 | Time now: 25.859883 |End 
 | Time now: 73 | Time now: 30.959920 |End 
 | Time now: 77 | Time now: 64.160003 |End 
 | Time now: 72 | Time now: 72.859924 |End 
 | Time now: 72 | Time now: 73.409923 |End 
 | Time now: 71 | Time now: 76.609915 |End 
 | Time now: 68 | Time now: 83.559896 |End 
 | Time now: 64 | Time now: 87.309891 |End 
 | Time now: 64 | Time now: 94.009888 |End 
 | Time now: 64 | Time now: 94.559888 |End 
 | Time now: 64 | Time now: 97.759888 |End 
 | Time now: 64 | Time now: 99.369568 |End 
 | Time now: 64 | Time now: 99.919568 |End 
 | Time now: 64 | Time now: 102.059888 |End 
 | Time now: 64 | Time now: 102.609888 |End 
 | Time now: 64 | Time now: 110.909888 |End 
 | Time now: 64 | Time now: 112.519568 |End 
 | Time now: 64 | Time now: 117.609888 |End 
