 | Time now: 12 | Time now: 1.129079 |End 
 | Time now: 13 | Time now: 1.679079 |End 
 | Time now: 13 | Time now: 2.229079 |End 
 | Time now: 11 | Time now: 2.779079 |End 
 | Time now: 12 | Time now: 3.329079 |End 
 | Time now: 12 | Time now: 3.879079 |End 
 | Time now: 13 | Time now: 4.429079 |End 
 | Time now: 13 | Time now: 4.979079 |End 
 | Time now: 11 | Time now: 5.529079 |End 
 | Time now: 12 | Time now: 6.079079 |End 
 | Time now: 12 | Time now: 6.629079 |End 
 | Time now: 13 | Time now: 7.179079 |End 
 | Time now: 14 | Time now: 7.729079 |End 
 | Time now: 12 | Time now: 8.279079 |End 
 | Time now: 12 | Time now: 8.829079 |End 
 | Time now: 13 | Time now: 9.379079 |End 
 | Time now: 14 | Time now: 9.929079 |End 
 | Time now: 14 | Time now: 10.479079 |End 
 | Time now: 12 | Time now: 11.029079 |End 
 | Time now: 13 | Time now: 11.579079 |End 
 | Time now: 13 | Time now: 12.129079 |End 
 | Time now: 14 | Time now: 12.679079 |End 
 | Time now: 14 | Time now: 13.229079 |End 
 | Time now: 13 | Time now: 13.779079 |End 
 | Time now: 13 | Time now: 14.329079 |End 
 | Time now: 14 | Time now: 14.879079 |End 
 | Time now: 14 | Time now: 15.429079 |End 
 | Time now: 15 | Time now: 15.969399 |End 
 | Time now: 13 | Time now: 16.519399 |End 
 | Time now: 13 | Time now: 17.069399 |End 
 | Time now: 14 | Time now: 17.619399 |End 
 | Time now: 14 | Time now: 18.169399 |End 
 | Time now: 13 | Time now: 18.719399 |End 
 | Time now: 13 | Time now: 19.269399 |End 
 | Time now: 14 | Time now: 19.819399 |End 
 | Time now: 14 | Time now: 20.369399 |End 
 | Time now: 15 | Time now: 20.919399 |End 
 | Time now: 13 | Time now: 21.469399 |End 
 | Time now: 14 | Time now: 22.019399 |End 
 | Time now: 14 | Time now: 22.569399 |End 
 | Time now: 15 | Time now: 23.119399 |End 
 | Time now: 15 | Time now: 23.669399 |End 
 | Time now: 13 | Time now: 24.219399 |End 
 | Time now: 14 | Time now: 24.769399 |End 
 | Time now: 15 | Time now: 25.319399 |End 
 | Time now: 15 | Time now: 25.869399 |End 
 | Time now: 16 | Time now: 26.419399 |End 
 | Time now: 14 | Time now: 26.969399 |End 
 | Time now: 14 | Time now: 27.519399 |End 
 | Time now: 15 | Time now: 28.069399 |End 
 | Time now: 15 | Time now: 28.619399 |End 
 | Time now: 16 | Time now: 29.169399 |End 
 | Time now: 14 | Time now: 29.719399 |End 
 | Time now: 15 | Time now: 30.269399 |End 
 | Time now: 15 | Time now: 30.829079 |End 
 | Time now: 16 | Time now: 31.379079 |End 
 | Time now: 17 | Time now: 31.919399 |End 
 | Time now: 14 | Time now: 32.469399 |End 
 | Time now: 15 | Time now: 33.019399 |End 
 | Time now: 16 | Time now: 33.569399 |End 
 | Time now: 16 | Time now: 34.119399 |End 
 | Time now: 17 | Time now: 34.669399 |End 
 | Time now: 15 | Time now: 35.219399 |End 
 | Time now: 15 | Time now: 35.769399 |End 
 | Time now: 16 | Time now: 36.319399 |End 
 | Time now: 18 | Time now: 36.869397 |End 
 | Time now: 21 | Time now: 37.419397 |End 
 | Time now: 24 | Time now: 37.969399 |End 
 | Time now: 28 | Time now: 38.519404 |End 
 | Time now: 30 | Time now: 39.069410 |End 
 | Time now: 33 | Time now: 39.619421 |End 
 | Time now: 36 | Time now: 40.169435 |End 
 | Time now: 38 | Time now: 40.719456 |End 
 | Time now: 41 | Time now: 41.269484 |End 
 | Time now: 43 | Time now: 42.369508 |End 
 | Time now: 41 | Time now: 43.959802 |End 
 | Time now: 41 | Time now: 44.509804 |End 
 | Time now: 42 | Time now: 45.059807 |End 
 | Time now: 42 | Time now: 45.609809 |End 
 | Time now: 42 | Time now: 46.159812 |End 
 | Time now: 42 | Time now: 46.709815 |End 
 | Time now: 43 | Time now: 47.259818 |End 
 | Time now: 43 | Time now: 47.809822 |End 
 | Time now: 43 | Time now: 48.359825 |End 
 | Time now: 44 | Time now: 48.909828 |End 
 | Time now: 44 | Time now: 49.459832 |End 
 | Time now: 44 | Time now: 50.009836 |End 
 | Time now: 45 | Time now: 50.559840 |End 
 | Time now: 45 | Time now: 51.109843 |End 
 | Time now: 45 | Time now: 51.659847 |End 
 | Time now: 46 | Time now: 52.209851 |End 
 | Time now: 46 | Time now: 52.759855 |End 
 | Time now: 47 | Time now: 53.309858 |End 
 | Time now: 47 | Time now: 53.859862 |End 
 | Time now: 49 | Time now: 55.459871 |End 
 | Time now: 49 | Time now: 56.009874 |End 
 | Time now: 50 | Time now: 56.559876 |End 
 | Time now: 51 | Time now: 57.109878 |End 
 | Time now: 53 | Time now: 59.009882 |End 
 | Time now: 59 | Time now: 62.759882 |End 
 | Time now: 70 | Time now: 68.059904 |End 
